Date,Username,User tag,Content,Mentions,link
"2024-11-06,11:16:36",m1k4eru,#0,nta ak tkhmm 3lih bl3 9wd,yia06555#0,
"2024-11-06,11:16:37",kitter969,#0,i developed anger issue,,
"2024-11-06,11:16:40",aaamethysttt,#0,"Eh
Ana I'm not even thinking about that rn",m1k4eru#0,
"2024-11-06,11:16:57",aaamethysttt,#0,No worries all good✨🌷,yia06555#0,
"2024-11-06,11:17:06",m1k4eru,#0,who cares XD lthay b9raytek mchi 3ndk devoir,aaamethysttt#0,
"2024-11-06,11:17:15",yia06555,#0,chekoun howa,m1k4eru#0,
"2024-11-06,11:17:28",kitter969,#0,<:ALG_Sadge:1188883647772758106>,m1k4eru#0,
"2024-11-06,11:17:29",m1k4eru,#0,aywaaaaaaaa ms nta 7mar rana mkhaltin,yia06555#0,
"2024-11-06,11:17:35",m1k4eru,#0,lzm nfhmk ?,,
"2024-11-06,11:17:35",aaamethysttt,#0,Mjach prof hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh lah yhfdo,m1k4eru#0,
"2024-11-06,11:17:40",yia06555,#0,bl39l meskina she's only 17 bro,m1k4eru#0,
"2024-11-06,11:17:57",aaamethysttt,#0,Yo5ne9 fya?,yia06555#0,
"2024-11-06,11:18:06",yia06555,#0,lala ana manich nkhamam f lakhmadj ana ntkhayal,m1k4eru#0,
"2024-11-06,11:18:11",m1k4eru,#0,ah allah ysahel li ydou9 discord yzid ydou9 m3ah 3dabo,yia06555#0,
"2024-11-06,11:18:18",kitter969,#0,17yo,,
"2024-11-06,11:18:20",yia06555,#0,nah bully brq,aaamethysttt#0,
"2024-11-06,11:18:25",m1k4eru,#0,m3lih next time ydrbkom b sujet s7i7,aaamethysttt#0,
"2024-11-06,11:18:25",nemouz,#0,Chkoun 17 hna,,
"2024-11-06,11:18:31",yia06555,#0,run,,
"2024-11-06,11:18:32",yia06555,#0,ja nymz,,
"2024-11-06,11:18:33",kitter969,#0,i thought she 28 or something,,
"2024-11-06,11:18:36",m1k4eru,#0,aywaaaaaa ms nta mb3r,yia06555#0,
"2024-11-06,11:18:42",aaamethysttt,#0,Sujets te3o m9wdin mn dok haha,m1k4eru#0,
"2024-11-06,11:18:50",nemouz,#0,Bla tweswis li 17 years old 7ab ndirlou haja brk,,
"2024-11-06,11:18:53",aaamethysttt,#0,Alrighty,yia06555#0,
"2024-11-06,11:18:54",m1k4eru,#0,eyaaaah ey ey yaw aw,aaamethysttt#0,
"2024-11-06,11:18:55",nemouz,#0,Nblockih,,
"2024-11-06,11:19:03",aaamethysttt,#0,Go ahead,nemouz#0,
"2024-11-06,11:19:08",yia06555,#0,roho l privé eand tonton vajin,,
"2024-11-06,11:19:10",aaamethysttt,#0,Ma zedt ma n99est,,
"2024-11-06,11:19:16",nemouz,#0,Bs7 who is,aaamethysttt#0,
"2024-11-06,11:19:19",aaamethysttt,#0,Huh,m1k4eru#0,
"2024-11-06,11:19:25",aaamethysttt,#0,<@1237841015193468951>,nemouz#0、aaamethysttt#0,
"2024-11-06,11:19:28",yia06555,#0,third word li 9oltih hna eandna tatyah elablk,aaamethysttt#0,
"2024-11-06,11:19:40",kitter969,#0,nymz na9ess men 7yatek is real depression,aaamethysttt#0,
"2024-11-06,11:19:48",m1k4eru,#0,nrmll 9wd ay normal,yia06555#0,
"2024-11-06,11:19:53",m1k4eru,#0,on est a oran,,
"2024-11-06,11:19:57",nemouz,#0,"Yah ya nmi, a staff a7chmou chwi din lah realm fih mlyar minoura",,
"2024-11-06,11:20:11",yuriiiiiiiiie,#0,kirak dayer,saifhachaniii#0,
"2024-11-06,11:20:12",m1k4eru,#0,17,nemouz#0,
"2024-11-06,11:20:15",aaamethysttt,#0,Sorry then,yia06555#0,
"2024-11-06,11:20:15",kitter969,#0,they like it that way,nemouz#0,
"2024-11-06,11:20:25",kitter969,#0,y7ebo ykebrohom,,
"2024-11-06,11:20:30",m1k4eru,#0,bihom yetla3 server,nemouz#0,
"2024-11-06,11:20:32",yuriiiiiiiiie,#0,bessah kayen interro hhhhh,aaamethysttt#0,
"2024-11-06,11:20:34",yia06555,#0,lala ana 9bayli,m1k4eru#0,
"2024-11-06,11:20:35",aaamethysttt,#0,Better,kitter969#0,
"2024-11-06,11:20:38",nemouz,#0,Wirahhom tatawet el 30+ bro cmon,,
"2024-11-06,11:20:46",m1k4eru,#0,fuck u then,yia06555#0,
"2024-11-06,11:20:46",aaamethysttt,#0,😭last year nrml dw,yuriiiiiiiiie#0,
"2024-11-06,11:20:56",kitter969,#0,<@847594538854907954> hadi tata kbayliya,nemouz#0、yuriiiiiiiiie#0,
"2024-11-06,11:21:02",kitter969,#0,t7eb drahem,,
"2024-11-06,11:21:12",nemouz,#0,Hadi blockitha deja,kitter969#0,
"2024-11-06,11:21:19",nemouz,#0,Techti l7enna,,
"2024-11-06,11:21:23",kitter969,#0,tblocki tatat ?,nemouz#0,
"2024-11-06,11:21:28",yia06555,#0,roh tchrab,m1k4eru#0,
"2024-11-06,11:21:30",m1k4eru,#0,mnkhdmouch b lage,,
"2024-11-06,11:21:33",kitter969,#0,ewwwww,nemouz#0,
"2024-11-06,11:21:35",yia06555,#0,b mizan,,
"2024-11-06,11:21:43",saifhachaniii,#0,Labas w nti,yuriiiiiiiiie#0,
"2024-11-06,11:22:01",m1k4eru,#0,fo9 72 makalah,yia06555#0,
"2024-11-06,11:22:03",kitter969,#0,mkach 7aja perfect fel dzair ki tsibha tata kbayliya tsibha m9awda fi 39elha,,
"2024-11-06,11:22:03",yia06555,#0,,,https://cdn.discordapp.com/attachments/840535839138119680/1303665699473981530/vladimir_putin_houari_boumediene_.mp4?ex=672de64b&is=672c94cb&hm=9a6108c0d619866346f5740c85e56f11e8bb77ccbbba2e23118104be128ffff8&
"2024-11-06,11:22:05",yuriiiiiiiiie,#0,doing well el hmdlh,saifhachaniii#0,
"2024-11-06,11:22:15",nemouz,#0,L7enna red flag,,
"2024-11-06,11:22:29",yia06555,#0,la pointure for 38 red flag,,
"2024-11-06,11:22:40",yia06555,#0,fo9 70*,m1k4eru#0,
"2024-11-06,11:22:43",kitter969,#0,7na 3aychin fel khra w nzido ndiro 7ena,nemouz#0,
"2024-11-06,11:22:47",saifhachaniii,#0,Nodti sbah rhti t9ray!?,yuriiiiiiiiie#0,
"2024-11-06,11:22:52",kitter969,#0,what difference,,
"2024-11-06,11:23:28",yia06555,#0,<@433726581014265876>,m1k4eru#0,https://cdn.discordapp.com/attachments/840535839138119680/1303666052806475847/Snapinsta.app_video_426088959_905173951157141_6643710697370708459_n.mp4?ex=672de69f&is=672c951f&hm=3e69c1050f72035f0f57efd0017d41269b214ab34bdf3c8ce20160a22cb728e0&
"2024-11-06,11:23:29",aaamethysttt,#0,Psq 3arf lokan ktr m 38 t3fs 3lik<:ALG_kekw:852170231673782332> ayna 7o9o9 al mar2a,yia06555#0,
"2024-11-06,11:23:52",hotsana.,#0,3leh mtrohich t9wdi,titanos3059#0,
"2024-11-06,11:23:54",nemouz,#0,Pwantchugh,,
"2024-11-06,11:23:55",yia06555,#0,"jamais ta3rf 3liya ana 
nti byna tlbsi wahad 40",aaamethysttt#0,
"2024-11-06,11:24:04",hotsana.,#0,Nji n3fes elik,,
"2024-11-06,11:24:11",aaamethysttt,#0,Bayna oue,yia06555#0,
"2024-11-06,11:24:26",yia06555,#0,oue hadi tae zaema la france,aaamethysttt#0,
"2024-11-06,11:24:42",yia06555,#0,zidlha kaf men3endi hbb,hotsana.#0,
"2024-11-06,11:25:02",aaamethysttt,#0,Mzya ki t3rf,yia06555#0,
"2024-11-06,11:25:03",hotsana.,#0,Chir mchi chira khanez hda,yia06555#0,
"2024-11-06,11:25:20",y_yur,#0,Elmar2a Elmostarjila,hotsana.#0,
"2024-11-06,11:25:42",hotsana.,#0,Gol welah,y_yur#0,
"2024-11-06,11:26:12",yuriiiiiiiiie,#0,lala man9rach mba9ilich 9raya,saifhachaniii#0,
"2024-11-06,11:26:55",yia06555,#0,rohi t9ray do seance ldjaya,aaamethysttt#0,
"2024-11-06,11:27:07",aaamethysttt,#0,Hein,yia06555#0,
"2024-11-06,11:27:33",nemouz,#0,Madam ma fhmtch wch m3ntha konjigizon,,
"2024-11-06,11:28:24",saifhachaniii,#0,Tro7i l 7ayat al 3amaliya,yuriiiiiiiiie#0,
"2024-11-06,11:28:31",yia06555,#0,dok iji chikh rohi t9ray,aaamethysttt#0,
"2024-11-06,11:28:56",aaamethysttt,#0,"Madame 
Mazmozel",yia06555#0,
"2024-11-06,11:28:59",aaamethysttt,#0,Mchi chikh,,
"2024-11-06,11:29:10",nemouz,#0,Choufihali,,
"2024-11-06,11:29:18",yia06555,#0,mazmozl hadi jdida,aaamethysttt#0,
"2024-11-06,11:29:22",yuriiiiiiiiie,#0,wah ani fiha,saifhachaniii#0,
"2024-11-06,11:29:25",yia06555,#0,mathabouch redjal,aaamethysttt#0,
"2024-11-06,11:29:36",yia06555,#0,<@1237841015193468951> chehal fi 3mrha prof dyalkom ?,aaamethysttt#0,
"2024-11-06,11:29:58",aaamethysttt,#0,41 hkk,yia06555#0,
"2024-11-06,11:30:04",yia06555,#0,<@265538795472945152>,nemouz#0、aaamethysttt#0,
"2024-11-06,11:30:11",nemouz,#0,Aaa perfect,,
"2024-11-06,11:30:12",yia06555,#0,kbira ambali sghira,aaamethysttt#0,
"2024-11-06,11:30:16",aaamethysttt,#0,Chart nkhlso ana,yia06555#0,
"2024-11-06,11:30:23",aaamethysttt,#0,Lala,yia06555#0,
"2024-11-06,11:30:34",yia06555,#0,manhabch tatat ana,aaamethysttt#0,
"2024-11-06,11:30:47",yia06555,#0,lala batal,aaamethysttt#0,
"2024-11-06,11:30:48",aaamethysttt,#0,"Mais 3ndk wchno 7ara
Strong independent woman",,
"2024-11-06,11:30:58",aaamethysttt,#0,Slaves w bdrahem,yia06555#0,
"2024-11-06,11:31:02",kitter969,#0,i will start spamming thresh fel rank,,
"2024-11-06,11:31:02",nemouz,#0,Jibili nimiroha drk ma tzidoch t9raw 7isetha hatan yjibou moustkhlfa,,
"2024-11-06,11:31:16",yia06555,#0,rak rah t3w9ha nymz ?,nemouz#0,
"2024-11-06,11:31:19",aaamethysttt,#0,Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh la nhb madame mnsm7ch,nemouz#0,
"2024-11-06,11:31:30",kitter969,#0,and i will play it counter engage style,,
"2024-11-06,11:31:32",yia06555,#0,jamais ana slave especially to a woman,aaamethysttt#0,
"2024-11-06,11:31:40",nemouz,#0,Ra7 ndkhl fiha b hilux,yia06555#0,
"2024-11-06,11:31:44",aaamethysttt,#0,Huh????!!,yia06555#0,
"2024-11-06,11:31:49",yia06555,#0,hilux hiya l ...,nemouz#0,
"2024-11-06,11:31:55",yia06555,#0,howa*,,
"2024-11-06,11:32:00",nemouz,#0,Asbr lala,,
"2024-11-06,11:32:01",yia06555,#0,i wont be a slave,aaamethysttt#0,
"2024-11-06,11:32:13",yia06555,#0,ah mb mb nymz,,
"2024-11-06,11:32:20",yia06555,#0,https://tenor.com/view/toyota-hilux-hilux-gif-24871853,,
"2024-11-06,11:32:29",nemouz,#0,<:ALG_kekw:852170231673782332>,,
"2024-11-06,11:32:46",nemouz,#0,Fakin minourat,,
"2024-11-06,11:32:52",nemouz,#0,Realm siloun kbir,,
"2024-11-06,11:32:58",kitter969,#0,<:ALG_Sadge:1188883647772758106>,,
"2024-11-06,11:32:59",aaamethysttt,#0,Efhm rohk,yia06555#0,
"2024-11-06,11:33:12",nemouz,#0,Ana ro7 ndir kharya mn dak chekl aya a bientot,,
"2024-11-06,11:33:17",yia06555,#0,"ana jamais 9otlk nkon a slave 
9otlk l'age tae prof dyalk brq",aaamethysttt#0,
"2024-11-06,11:33:27",yia06555,#0,<@433726581014265876> aya kho,m1k4eru#0,
"2024-11-06,11:33:37",aaamethysttt,#0,"9l9tk?
They all respect me here sir
Don't use ur typical thoughts here",nemouz#0,
"2024-11-06,11:33:44",aaamethysttt,#0,Ni nchof,yia06555#0,
"2024-11-06,11:33:48",kitter969,#0,that time li ma 9dertch nerfed hilux break and everyone start giving me the twink look,,
"2024-11-06,11:33:58",kitter969,#0,<:ALG_Sadge:1188883647772758106>,,
"2024-11-06,11:34:01",nemouz,#0,Lala sibou ra7tkom rakom ni3m nes,aaamethysttt#0,
"2024-11-06,11:34:15",yia06555,#0,ana 3leh jamais 9ratni prof tae 25 ans ?,,
"2024-11-06,11:34:20",aaamethysttt,#0,"Idc about them anyways
Amina is Amina",nemouz#0,
"2024-11-06,11:34:27",aaamethysttt,#0,Mzwjin,yia06555#0,
"2024-11-06,11:34:31",m1k4eru,#0,oui,yia06555#0,
"2024-11-06,11:34:35",m1k4eru,#0,<@776769968955457546>,.coool#0,
"2024-11-06,11:34:40",aaamethysttt,#0,Y9ro f primere psq rjalhm yghiro elihm,,
"2024-11-06,11:34:53",yia06555,#0,"25 ans mzwjin ? 
en plus normal mzawdja ou t9ari",aaamethysttt#0,
"2024-11-06,11:34:55",nemouz,#0,Koun 9aratni wahda 25 koun rani elon musk drk,,
"2024-11-06,11:35:02",yia06555,#0,ana tan nghir,aaamethysttt#0,
"2024-11-06,11:35:02",aaamethysttt,#0,<@1152342466113048676>,yia06555#0,
"2024-11-06,11:35:17",aaamethysttt,#0,Khlas 3lh t7ws 3la khedama,yia06555#0,
"2024-11-06,11:35:52",yia06555,#0,ana l3am lifat 9ratni prof kbira 3liya b wahad 5 ans kaant t9adrni kont fytha b waahad 35 cm,aaamethysttt#0,
"2024-11-06,11:36:12",yia06555,#0,ana nkhaliha f dar ana nghir meme m drari sghar,aaamethysttt#0,
"2024-11-06,11:36:17",yia06555,#0,aya kho,m1k4eru#0,
"2024-11-06,11:36:36",aaamethysttt,#0,Ki tkon khedam w jibha ldar brk lah yshel,yia06555#0,
"2024-11-06,11:37:07",m1k4eru,#0,win,yia06555#0,
"2024-11-06,11:37:45",m1k4eru,#0,rak ghir aya aya,,
"2024-11-06,11:37:47",m1k4eru,#0,ha win,,
"2024-11-06,11:37:52",yia06555,#0,khelas saha ki ji t9arik whda tae 22 ans 9olili,aaamethysttt#0,
"2024-11-06,11:37:57",yia06555,#0,hamam ji ?,m1k4eru#0,
"2024-11-06,11:38:14",ssxrq_sd,#0,Cc,,
"2024-11-06,11:38:17",aaamethysttt,#0,Lmao kyn te3 arabe tban 25,yia06555#0,
"2024-11-06,11:38:29",m1k4eru,#0,thnx hda win dwcht o zawja daretli massage,yia06555#0,
"2024-11-06,11:38:54",yia06555,#0,"kifah jaya 
wach m willaya dok nji",aaamethysttt#0,
"2024-11-06,11:38:59",m1k4eru,#0,<@843201282496004106>  matro7ch tsuicidi 3la ro7k ykhi MBA3AR YA LA7MAR,karamdz#0,
"2024-11-06,11:39:08",yia06555,#0,zawdja tae dreams ?,m1k4eru#0,
"2024-11-06,11:39:09",m1k4eru,#0,LIK LIK JMA3ET LHYPE,,
"2024-11-06,11:39:17",aaamethysttt,#0,"Jaya sauvaga
Tébessa",yia06555#0,
"2024-11-06,11:39:29",yia06555,#0,tbanit m server psq dert ll owner 9iw,m1k4eru#0,
"2024-11-06,11:39:29",m1k4eru,#0,nn t3 sa7 lol,yia06555#0,
"2024-11-06,11:39:31",m1k4eru,#0,XD,,
"2024-11-06,11:39:45",m1k4eru,#0,ana khrejt b9edri hmdlh,yia06555#0,
"2024-11-06,11:39:56",yia06555,#0,"awah manhabch sauvage ana nhab li thchem tabtsm twali hamra 
ou tbéssa manjich",aaamethysttt#0,
"2024-11-06,11:40:31",.coool,#0,?timeout 843201282496004106 7d ads,,
"2024-11-06,11:40:32",Carl-bot,#1536,Successful Timeout of **karamdz** for **7 days**. Reason: ads,,
"2024-11-06,11:40:42",m1k4eru,#0,khbot,,
"2024-11-06,11:40:47",m1k4eru,#0,9wd la poubelle,,
"2024-11-06,11:40:49",m1k4eru,#0,7mar,,
"2024-11-06,11:41:11",yia06555,#0,tzawdjt déja ?,m1k4eru#0,
"2024-11-06,11:41:19",m1k4eru,#0,himel,yia06555#0,
"2024-11-06,11:41:20",yia06555,#0,ana tbanit b 2 comtpes,m1k4eru#0,
"2024-11-06,11:41:23",m1k4eru,#0,n93do nl3bo,,
"2024-11-06,11:41:39",m1k4eru,#0,mzl 3ndi some acc o 3ndi w7d special,yia06555#0,
"2024-11-06,11:41:50",m1k4eru,#0,special chghol special bzf,,
"2024-11-06,11:42:06",m1k4eru,#0,,,
"2024-11-06,11:42:11",yia06555,#0,machi hadak nhar din ou islem ou gae,m1k4eru#0,
"2024-11-06,11:42:30",m1k4eru,#0,hih bs7 ana fl7lal 7bb,yia06555#0,
"2024-11-06,11:42:31",yia06555,#0,"3endi 4 comptes 
but i guess hlakthom gae",m1k4eru#0,
"2024-11-06,11:42:38",aaamethysttt,#0,"Anyways 
Lah yrz9ek 3la 7sab 9lbek insh'allah 🌷",yia06555#0,
"2024-11-06,11:42:40",aaamethysttt,#0,W a3rdni,,
"2024-11-06,11:42:52",yia06555,#0,bababa f 3 jours dert khotba ou kolech,m1k4eru#0,
"2024-11-06,11:43:03",m1k4eru,#0,wah,yia06555#0,
"2024-11-06,11:43:03",yia06555,#0,inchallah lik tan,aaamethysttt#0,
"2024-11-06,11:43:07",yia06555,#0,win na3rdk ?,aaamethysttt#0,
"2024-11-06,11:43:08",m1k4eru,#0,derthom flemnam,,
"2024-11-06,11:43:17",m1k4eru,#0,,,
"2024-11-06,11:43:26",yia06555,#0,f lamnam ih,m1k4eru#0,
"2024-11-06,11:43:27",aaamethysttt,#0,Amin^^💗,yia06555#0,
"2024-11-06,11:43:31",aaamethysttt,#0,3ersk,yia06555#0,
"2024-11-06,11:43:36",aaamethysttt,#0,Nt3cha,,
"2024-11-06,11:43:43",yia06555,#0,mantzwjch ana khatini nahder brq,aaamethysttt#0,
"2024-11-06,11:43:47",m1k4eru,#0,khlina ntkhaylo chwiya ndiroha sa7,yia06555#0,
"2024-11-06,11:43:51",.0ss,#0,Mliha lmra li ta7chem w t9ader 🤍,,
"2024-11-06,11:43:57",aaamethysttt,#0,Mkch 3arf 3la lmktob,yia06555#0,
"2024-11-06,11:44:03",yia06555,#0,atkhayal sahbi atkhayal,m1k4eru#0,
"2024-11-06,11:44:17",nemouz,#0,,.0ss#0,https://cdn.discordapp.com/attachments/840535839138119680/1303671292867772456/Snaptik.app_7433099560521567494.mp4?ex=672deb81&is=672c9a01&hm=d9b71566bdee6da606ebcc19db1240e38da22652919a0e98c4b9f727822bbae9&
"2024-11-06,11:44:19",.0ss,#0,Knt nhdr hka 2 Years ago,yia06555#0,
"2024-11-06,11:44:24",yia06555,#0,mahbol ana amina mindek n sauté m balcon,aaamethysttt#0,
"2024-11-06,11:44:36",yia06555,#0,HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,nemouz#0,
"2024-11-06,11:44:37",yia06555,#0,HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,,
"2024-11-06,11:44:48",.0ss,#0,🤣🤣🤣🤣🤣🤣🤣🤣🤣,nemouz#0,
"2024-11-06,11:44:50",yia06555,#0,TZAWADJT ?,.0ss#0,
"2024-11-06,11:44:59",aaamethysttt,#0,Balak tl9a li tsoti m3ak,yia06555#0,
"2024-11-06,11:45:12",.0ss,#0,"Mab9ash inshallah, dayr fat7a brk",yia06555#0,
"2024-11-06,11:45:27",m1k4eru,#0,9otelkom 9bayel mafihomch lamen,,
"2024-11-06,11:45:35",m1k4eru,#0,lyoum sa7bek ghedwa 3dowek,,
"2024-11-06,11:45:37",yia06555,#0,"déja eandi 2 nas drari na3rfhom 
ou f soutenance lazem wahad brq déja dok lazam n tirer wahad ou mali bda leam jamais hdart mea whda t9ra meaya",aaamethysttt#0,
"2024-11-06,11:45:57",.0ss,#0,<@745094395669250128> from usa ???,pokerface2511#0,
